dbn,locationname,N/A,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q2e,p_q2f,p_q2g,p_q2h,p_q2i,p_q2j,p_q3a,p_q3b,p_q4a,p_q4b,p_q4c,p_q4d,p_q5a,p_q5b,p_q5c,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,p_q9,p_q10a,p_q10b,,,
02M460,Washington Irving High School,HS,7.7,7.7,7.5,7.4,8.0,7.3,7.7,8.1,8.4,8.1,7.5,7.9,7.6,7.8,7.7,7.7,7.5,7.4,7.7,7.4,7.3,7.3,7.4,7.9,7.9,7.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.5,Not Scored,7.3,7.4,7.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,7.9,8.3,,,
02M473,Washington Irving Yabc,YABC,8.0,7.8,7.3,7.5,8.3,7.1,7.0,8.1,8.5,7.9,7.6,7.8,7.9,8.0,7.6,7.5,7.7,7.6,8.2,7.9,7.7,6.5,8.3,7.8,7.9,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.9,Not Scored,8.1,8.0,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,8.8,7.5,,,
02M475,Stuyvesant High School,HS,8.7,8.3,8.1,8.4,8.5,7.4,8.5,8.6,8.9,8.4,8.0,8.3,8.8,8.8,8.3,8.3,8.1,8.0,8.7,8.5,8.3,8.7,8.8,8.3,8.3,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.4,Not Scored,8.2,8.5,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.5,9.8,8.9,,,
02M489,High School of Economics and Finance,HS,8.1,8.3,7.7,8.2,8.7,8.1,8.0,8.5,8.4,8.3,8.3,8.3,8.0,8.4,8.3,8.3,8.2,8.2,8.4,8.3,8.2,8.3,8.5,8.1,8.3,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.0,Not Scored,8.3,8.1,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.8,7.8,,,
02M500,Unity Center for Urban Technologies,HS,7.7,8.4,7.6,8.2,8.6,8.5,8.5,8.5,8.6,8.2,8.1,8.2,5.9,8.2,8.2,8.2,8.3,8.3,8.1,6.7,6.2,8.2,8.2,8.2,8.0,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,Not Scored,7.9,7.9,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.0,6.9,7.5,,,
02M507,Urban Assembly Gateway School for Technology,HS,8.7,8.8,8.4,8.5,9.1,8.5,8.7,9.0,8.9,8.3,8.5,8.9,8.4,8.8,8.7,8.7,9.0,8.9,8.9,8.8,8.5,8.8,8.4,8.6,8.4,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.3,Not Scored,9.0,8.9,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.7,8.7,8.0,,,
02M519,Talent Unlimited High School,HS,8.0,7.9,7.6,8.1,8.4,7.0,7.5,8.2,8.7,7.9,7.6,8.3,7.3,8.4,8.2,8.1,8.2,7.9,8.2,7.7,7.3,8.0,8.6,8.2,8.2,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,7.8,8.3,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.3,7.7,7.0,,,
02M520,Murry Bergtraum High School for Business Careers,HS,7.0,6.9,6.4,7.2,7.5,6.9,7.1,7.1,7.7,6.7,6.2,7.7,7.6,7.8,7.3,7.4,7.6,7.5,7.6,7.6,6.6,7.8,7.5,7.8,7.7,5.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,1.8,Not Scored,5.0,7.1,6.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,6.4,5.8,,,
02M527,PS 527 - East Side School for Social Action,ECC,9.0,9.3,9.3,9.3,9.2,9.5,8.9,9.7,9.5,9.2,9.2,9.6,9.0,9.2,9.2,9.3,9.1,9.2,9.5,8.9,8.7,9.5,9.0,9.4,9.1,9.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.6,Not Scored,9.7,9.1,9.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.9,9.2,8.3,,,
02M529,Jacqueline Kennedy Onassis High School,HS,8.3,8.4,7.9,8.5,8.7,8.2,8.2,8.6,8.6,8.5,8.3,8.1,8.1,8.5,8.3,8.4,8.5,8.3,8.4,8.5,7.9,8.6,8.7,8.4,8.6,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.9,Not Scored,8.5,8.5,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.5,8.4,,,
02M531,Repertory Company High School for Theatre Arts,HS,8.4,8.3,8.0,8.0,8.7,7.5,7.7,8.7,8.9,8.3,8.2,8.2,7.5,8.4,8.1,8.3,8.2,8.2,8.3,7.8,7.7,7.6,8.7,8.1,8.5,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.6,Not Scored,8.5,8.3,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.0,8.5,9.0,,,
02M533,Union Square Academy for Health Sciences,HS,9.0,8.9,8.3,8.6,9.0,8.7,8.8,9.1,9.2,8.8,8.8,8.5,8.4,9.4,9.0,9.0,9.1,8.8,9.3,9.1,8.8,8.3,8.7,9.0,9.0,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.6,Not Scored,9.1,9.0,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,8.8,8.8,,,
02M534,Harvest Collegiate High School,HS,8.2,8.2,8.3,8.8,8.4,7.8,7.7,9.1,8.5,8.3,8.5,8.8,8.4,8.6,8.6,8.6,8.5,8.3,8.6,8.5,8.0,8.9,8.9,8.8,8.7,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,8.5,8.6,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.2,7.5,7.5,,,
02M542,Manhattan Bridges High School,HS,8.8,9.0,8.5,8.8,9.2,8.8,8.8,9.2,9.3,9.1,8.7,8.9,8.8,8.9,9.0,8.8,8.9,8.8,9.2,9.1,8.9,8.9,8.9,8.8,8.5,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.7,Not Scored,9.0,9.0,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,8.6,7.8,,,
02M543,New Design High School,HS,8.9,8.9,8.3,9.0,8.8,8.8,9.0,9.0,9.0,9.0,9.0,9.1,8.5,9.0,9.0,9.2,9.2,9.0,9.2,9.2,9.4,9.3,9.2,9.2,9.0,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.1,Not Scored,9.2,9.5,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,8.8,7.5,,,
02M544,Independence High School,HST,9.6,9.8,9.3,9.9,9.7,9.7,9.7,9.9,9.9,9.9,9.8,9.8,9.8,9.7,9.7,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.9,10.0,9.9,9.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.8,Not Scored,9.8,9.8,9.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,10.0,8.8,8.8,,,
02M545,High School for Dual Language and Asian Studies,HS,8.1,7.7,7.1,7.9,7.7,7.2,7.4,8.0,8.5,7.9,7.7,7.8,7.4,7.8,7.9,8.0,7.7,7.7,8.1,7.9,7.6,7.8,8.4,8.0,8.0,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,2.7,Not Scored,7.8,7.7,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8,8.8,8.8,,,
02M546,Academy for Software Engineering,HS,8.6,9.0,8.4,8.5,9.5,8.7,8.8,9.3,9.1,8.8,9.1,9.1,7.6,9.1,8.7,9.2,9.1,8.9,9.1,8.9,8.7,8.4,8.2,8.7,8.6,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,Not Scored,9.0,8.6,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.6,8.8,7.5,,,
02M550,Liberty High School Academy for Newcomers,HST,8.7,8.6,7.7,8.7,8.7,8.4,8.4,8.9,8.6,8.4,8.3,8.5,7.9,8.6,8.4,8.5,8.7,8.7,8.8,8.6,8.3,8.7,8.9,8.7,8.3,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.5,Not Scored,8.7,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,10.0,7.5,10.0,,,
02M551,Urban Assembly New York Harbor School,HS,7.7,8.1,8.0,8.8,8.2,7.6,7.7,8.8,8.9,8.0,8.4,8.7,8.0,8.5,8.3,8.4,8.0,8.2,8.3,8.4,8.1,9.2,8.9,8.6,8.7,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.4,Not Scored,8.2,8.1,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,6.5,5.9,,,
02M560,High School M560 - City As School,HST,8.4,8.0,8.0,8.7,8.1,7.3,7.4,8.6,8.8,8.1,8.3,8.7,8.1,8.2,8.4,8.5,8.4,8.1,8.4,8.4,8.2,8.5,8.8,8.8,8.4,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.6,Not Scored,8.4,8.4,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.5,8.5,,,
02M565,Urban Academy Laboratory High School,HST,8.2,8.9,8.8,9.2,9.0,8.8,8.4,9.4,9.4,8.8,9.0,9.6,9.3,9.3,9.4,9.1,8.9,9.0,9.1,8.8,8.6,9.1,9.0,9.3,9.1,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,Not Scored,9.1,9.3,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.0,7.5,5.0,,,
02M570,Satellite Academy High School,HST,8.2,8.9,8.4,8.9,8.9,8.8,8.5,9.0,9.1,8.8,8.9,8.9,8.3,9.1,9.0,9.1,8.8,9.0,8.9,9.2,8.8,8.8,9.3,8.9,8.7,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.0,Not Scored,9.0,8.8,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,6.3,6.3,,,
02M575,Manhattan Comprehensive Night and Day High School,HST,8.5,8.6,7.9,8.8,8.7,8.4,8.6,8.8,8.8,8.2,8.1,8.7,8.6,8.7,8.7,8.8,8.9,8.6,8.9,8.7,8.6,9.0,8.9,8.5,8.3,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.1,Not Scored,8.7,8.6,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,8.1,8.1,,,
02M580,Richard R. Green High School of Teaching,HS,8.1,7.9,7.5,8.1,8.0,7.3,7.6,8.3,8.4,7.9,8.0,8.0,7.9,8.1,8.1,8.0,8.1,8.1,8.0,7.6,7.7,8.2,8.3,8.2,8.1,7.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.8,Not Scored,8.0,8.2,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,8.6,8.0,,,
02M586,Harvey Milk High School,HST,8.7,8.7,8.1,8.8,9.2,8.3,8.9,8.8,9.1,8.8,8.4,8.3,7.8,8.0,8.3,8.1,9.0,8.3,8.0,7.7,7.8,8.8,8.1,8.9,9.2,9.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.5,Not Scored,8.1,8.1,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,10.0,10.0,10.0,,,
02M600,The High School of Fashion Industries,HS,8.3,8.6,8.2,8.2,9.0,8.4,8.6,8.9,8.9,8.2,8.4,8.5,8.6,8.7,8.5,8.5,8.5,8.3,8.5,8.4,8.0,8.2,8.6,8.1,8.3,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,8.4,8.4,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.0,7.7,,,
02M605,Humanities Preparatory Academy,HST,8.4,8.3,7.9,8.1,8.8,7.4,7.6,9.1,8.8,8.3,8.4,8.7,7.8,8.3,8.2,8.6,8.4,8.2,8.4,8.1,8.0,7.7,8.3,8.2,8.6,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.6,Not Scored,8.8,8.3,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,9.2,8.2,,,
02M615,Chelsea Career and Technical Education High School,HS,8.5,8.4,7.7,8.4,8.6,8.0,8.4,8.7,8.5,8.1,8.1,8.2,8.1,8.4,8.4,8.7,8.5,8.4,8.6,8.6,8.5,8.2,8.7,8.5,8.2,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.8,Not Scored,8.5,8.5,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.8,8.4,,,
02M620,Norman Thomas High School,HS,7.8,8.0,7.9,8.1,8.2,7.8,7.9,8.1,8.0,8.0,8.0,8.0,8.1,8.0,7.9,8.2,8.0,8.3,8.4,8.4,8.2,8.2,8.0,8.4,8.1,7.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.6,Not Scored,7.9,7.8,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,7.0,7.0,,,
02M625,High School of Graphic Communication Arts,HS,6.8,6.4,6.2,6.5,6.7,5.4,5.5,6.9,7.5,6.4,6.5,6.8,5.9,6.9,6.8,6.4,6.6,6.8,6.9,6.6,5.9,5.6,6.9,7.1,7.2,6.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.3,Not Scored,6.5,6.6,7.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.1,7.4,6.5,,,
02M630,Art and Design High School,HS,7.6,7.7,7.4,8.0,8.1,6.9,7.7,7.9,8.4,7.5,7.2,7.9,7.5,7.8,7.9,7.6,7.4,7.5,7.5,7.4,7.2,8.3,8.3,7.9,8.2,7.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.9,Not Scored,7.4,7.7,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,7.9,7.0,,,
02M655,Life Sciences Secondary School,MS/HS,7.4,7.7,7.1,7.3,7.8,7.0,7.5,7.9,8.4,7.6,7.6,8.1,7.6,7.9,8.0,8.1,8.0,8.0,8.1,7.5,6.9,7.0,7.4,7.6,7.8,7.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.4,Not Scored,7.7,7.8,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.3,6.0,5.4,,,
02M896,Lower Manhattan Community Middle School,MS,8.6,8.9,8.6,9.0,9.1,8.6,8.7,9.2,9.2,8.9,8.9,8.8,8.7,8.8,8.8,8.7,8.8,8.6,8.8,8.7,8.5,9.3,9.0,8.8,9.1,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.2,Not Scored,8.9,8.8,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,8.5,8.3,,,
03M009,P.S. 009 Sarah Anderson,ES,8.7,8.9,8.6,9.1,8.9,8.8,8.3,8.9,9.3,8.8,8.6,9.2,8.7,8.8,8.6,8.9,8.6,8.8,8.9,8.3,8.1,9.1,9.2,9.0,9.0,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.4,Not Scored,8.9,9.0,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,8.4,8.4,,,
03M054,J.H.S. 054 Booker T. Washington,MS,8.7,8.7,8.3,8.4,9.2,8.0,8.4,8.4,9.2,8.4,8.2,9.0,8.3,9.1,8.8,8.7,8.9,8.6,9.0,8.5,7.9,8.6,8.6,8.5,8.4,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,8.7,9.0,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.6,7.7,,,
03M075,P.S. 075 Emily Dickinson,ES,8.4,8.5,8.4,8.4,8.7,8.3,8.3,8.6,8.9,8.5,8.2,8.7,8.5,8.4,8.3,8.6,8.4,8.4,8.5,8.0,7.7,8.1,8.5,8.5,8.5,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,Not Scored,8.3,8.3,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.3,8.3,,,
03M076,P.S. 076 A. Philip Randolph,ES/MS,8.6,8.7,8.2,8.5,8.7,8.5,8.6,8.9,8.9,8.6,8.6,8.6,8.4,8.6,8.7,8.7,8.5,8.6,8.5,8.3,8.3,8.5,8.5,8.5,8.8,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.5,Not Scored,8.8,8.9,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.9,8.5,,,
03M084,P.S. 084 Lillian Weber,ES,8.1,8.2,7.8,8.2,8.5,8.1,7.9,8.1,8.9,7.9,7.8,8.7,7.9,8.2,8.3,8.3,8.2,7.9,8.3,7.8,7.3,8.2,8.3,8.4,8.4,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,7.9,8.2,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,7.6,7.5,,,
03M087,P.S. 087 William Sherman,ES,7.9,8.2,8.1,8.1,8.1,7.9,7.9,8.6,9.3,8.0,7.6,9.1,8.2,7.7,8.1,8.2,8.0,8.1,8.2,7.6,6.8,7.5,8.1,8.7,8.3,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.7,Not Scored,7.9,8.2,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.3,7.8,7.4,,,
03M145,"P.S. 145, The Bloomingdale School",ES,7.9,8.4,8.1,8.4,8.6,8.4,7.9,8.3,8.9,8.3,8.1,8.5,7.9,8.2,8.3,8.3,8.0,8.1,8.1,7.6,7.5,8.5,8.7,8.5,8.5,7.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.4,Not Scored,8.3,8.4,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.2,7.2,6.9,,,
03M149,P.S. 149 Sojourner Truth,ES/MS,7.8,7.9,7.5,8.0,8.2,7.8,7.7,8.1,8.1,7.5,7.5,7.8,7.4,7.8,8.1,7.9,7.6,7.7,7.7,7.3,7.2,7.9,8.3,8.1,8.0,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.4,Not Scored,7.9,7.9,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,8.3,7.3,,,
03M163,P.S. 163 Alfred E. Smith,ES,8.3,8.5,8.4,8.5,8.5,8.6,8.0,9.0,9.4,8.6,8.2,9.1,8.0,8.4,8.4,8.5,8.3,8.2,8.4,8.0,7.7,8.6,8.7,8.7,8.3,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,Not Scored,8.4,8.4,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.0,8.0,,,
03M165,P.S. 165 Robert E. Simon,ES/MS,8.3,8.4,8.0,8.4,8.6,8.4,7.9,8.4,8.8,8.2,7.9,8.6,7.7,8.3,8.5,8.4,8.4,8.3,8.4,8.1,7.7,8.5,8.6,8.5,8.4,8.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.7,Not Scored,8.2,8.4,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.3,8.1,,,
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,ES,8.4,8.6,8.4,8.6,8.6,8.5,8.5,8.5,9.3,8.5,8.2,9.0,8.7,8.5,8.3,8.4,8.3,8.3,8.7,8.1,7.8,8.6,8.7,8.8,8.6,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.1,Not Scored,8.5,8.5,9.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.9,8.5,7.9,,,
03M180,P.S. 180 Hugo Newman,ES/MS,8.6,8.8,8.6,8.8,9.0,8.8,8.3,9.0,9.0,8.6,8.9,9.0,8.5,8.8,8.9,8.8,8.6,8.8,8.9,8.6,8.4,9.1,9.0,8.8,8.7,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.5,Not Scored,8.9,8.8,9.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.9,8.0,,,
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,ECC,8.4,8.7,8.5,8.8,8.8,8.8,8.2,8.9,9.0,8.6,8.5,8.9,8.5,8.8,8.6,8.7,8.7,8.7,8.7,8.2,8.0,8.8,9.0,8.9,8.5,8.4,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,Not Scored,8.8,8.8,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.2,8.1,7.3,,,
