dbn,locationname,N/A,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q2e,p_q2f,p_q2g,p_q2h,p_q2i,p_q2j,p_q3a,p_q3b,p_q4a,p_q4b,p_q4c,p_q4d,p_q5a,p_q5b,p_q5c,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,p_q9,p_q10a,p_q10b,,,
01M142,P.S. 142 Amalia Castro,ES,8.5,8.5,8.3,8.6,8.5,8.4,8.4,8.6,8.8,8.5,8.4,8.6,8.4,8.6,8.6,8.6,8.6,8.5,8.4,8.3,8.4,8.6,8.7,8.8,8.6,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.3,Not Scored,8.5,8.5,8.6,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.4,8.6,8.3,,,
01M184,P.S. 184m Shuang Wen,ES/MS,7.4,7.8,7.1,7.7,7.9,7.7,8.0,7.3,8.3,7.5,6.9,7.7,7.0,7.7,7.6,7.7,7.7,7.6,7.6,7.1,6.7,7.7,8.0,7.6,7.7,7.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.4,Not Scored,7.5,7.3,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.0,7.4,7.1,,,
01M188,P.S. 188 The Island School,ES/MS,8.6,8.9,8.6,8.7,8.9,8.8,8.8,9.1,9.2,8.7,8.7,8.8,8.7,8.7,8.8,8.8,8.7,8.6,8.6,8.4,8.4,8.9,8.7,8.8,8.7,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.7,Not Scored,8.8,8.7,8.8,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,8.3,8.0,,,
01M292,Henry Street School for International Studies,MS/HS,8.2,8.6,8.4,8.6,8.7,8.2,8.3,8.8,9.1,8.8,8.7,8.8,8.2,8.8,8.6,8.8,8.5,8.6,8.6,8.5,8.4,8.7,8.7,8.8,8.9,8.3,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.2,Not Scored,8.6,8.4,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.4,7.4,6.9,,,
01M301,"Technology, Arts, and Sciences Studio",MS,7.6,8.1,7.5,8.0,8.5,7.9,7.4,8.4,8.6,8.1,7.9,8.4,7.7,7.9,8.0,8.1,8.0,8.3,7.9,7.2,6.9,8.0,7.9,8.5,8.1,7.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,4.1,Not Scored,8.2,7.5,7.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.9,7.0,6.7,,,
01M315,The East Village Community School,ES,8.5,9.1,9.0,8.9,9.0,8.9,9.1,9.5,9.7,9.1,8.9,9.5,8.8,8.7,8.7,9.0,8.9,8.8,8.9,8.3,8.1,8.5,8.7,9.1,9.3,9.1,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.1,Not Scored,9.0,8.8,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,8.3,6.9,,,
01M332,University Neighborhood Middle School,MS,8.2,8.5,8.1,8.6,8.6,8.1,8.4,8.7,9.0,8.3,8.5,8.2,8.1,8.4,8.3,8.3,8.4,8.4,8.6,8.0,7.9,8.6,8.4,8.7,8.4,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.5,Not Scored,8.5,8.6,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.0,8.2,6.6,,,
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",MS,8.0,8.3,7.7,8.2,8.4,7.9,8.2,8.7,8.9,8.2,8.1,7.9,7.5,8.3,7.9,7.9,8.0,8.1,8.1,7.8,7.6,8.3,8.4,8.0,7.9,8.0,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,5.7,Not Scored,8.1,8.1,8.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.8,7.8,7.7,,,
01M361,The Children's Workshop School,ES,7.6,8.9,8.7,8.8,9.1,8.9,8.6,9.4,9.5,8.6,8.6,9.5,8.5,8.6,8.3,8.8,8.9,8.9,8.8,8.0,7.6,8.6,8.6,9.1,9.0,8.9,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.5,Not Scored,8.6,8.7,9.2,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,3.9,6.7,3.3,,,
01M363,Neighborhood School,ES,7.9,8.5,8.5,8.8,8.6,8.5,8.4,9.2,9.3,8.8,8.3,9.0,8.1,8.0,8.2,8.6,8.1,8.1,7.9,7.4,7.0,8.5,8.9,9.0,8.9,8.7,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.3,Not Scored,8.3,7.8,8.5,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.3,7.8,7.0,,,
