index,dbn,reading,math,writing,name,schooltype,aca_s_13,com_s_13,eng_s_13,saf_s_13,s_q1a,s_q1b,s_q1c,s_q1d,s_q1e,s_q1f,s_q1g,s_q2a,s_q2b,s_q2c,s_q2d,s_q3,s_q4a,s_q4e,s_q4f,s_q4g,s_q4h,s_q4i,s_q4j,s_q4k,s_q5a,s_q5b,s_q6a,s_q6b,s_q6c,s_q7a,s_q7b,s_q11a,s_q11b,s_q11c,s_q11d,s_q11e,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,p_q1b,p_q1c,p_q1d,p_q1e,p_q1f,p_q1g,p_q1h,p_q1i,p_q1j,p_q1k,p_q1l,p_q1m,p_q1n,p_q1o,p_q1p,p_q1q,p_q1r,p_q2a,p_q2b,p_q2c,p_q2d,p_q4c,p_q5a,p_q5b,p_q5c,p_q9,p_q10a,p_q10b,aca_t_13,com_t_13,eng_t_13,saf_t_13,t_q1a,t_q1b,t_q1c,t_q1d,t_q1e,t_q1f,t_q1g,t_q1h,t_q2a,t_q2b,t_q3a,t_q3b,t_q3c,t_q3d,t_q4a,t_q4b,t_q4c,t_q4d,t_q4e,t_q4f,t_q4g,t_q5,t_q6a,t_q6b,t_q6c,t_q7a,t_q7b,t_q7c,t_q8a,t_q8b,t_q8c,t_q9a,t_q9b,t_q9d,t_q10a,t_q10b,t_q10c,t_q10d,t_q10e,t_q10f,t_q11a,t_q11b,t_q11c,t_q11d,t_q11e,t_q11f,t_q11g,t_q11h,t_q11i,t_q11j,t_q11k,t_q11l,t_q11m,t_q12a,t_q14a,t_q14b,t_q14c,t_q14d,t_q15a,t_q15b,t_q15c,t_q15d,t_q16a,t_q16b,t_q16c
65,02M630,444,441,430,Art and Design High School,HS,7.40562,6.75955,6.45511,7.01113,8.13739,7.58487,7.13173,7.09517,7.37069,5.02837,8.28326,6.51204,6.08108,7.30057,6.96862,6.56877,8.32744,7.00495,7.7845,7.36917,7.49645,7.4611,6.63489,6.47646,7.94482,5.89404,5.87943,5.22436,6.4194,5.8534,6.21631,6.49222,7.69858,7.8312,8.21835,8.47656,7.6,7.7,7.4,8,8.1,6.9,7.7,7.9,8.4,7.5,7.2,7.9,7.5,7.8,7.9,7.6,7.4,7.5,7.5,7.4,7.2,8.3,8.3,7.9,8.2,7.3,5.9,7.4,7.7,7.9,7.7,7.9,7,7.12818,5.92454,6.58415,7.70026,5.41667,5.41667,5.41667,4.28571,5.34722,6.11111,4.16667,4.64286,4.79167,4.79167,5.80882,7.21429,5.92857,7.28571,7.71429,6.35714,7.07143,7.57353,7.13235,7,7.79412,8.21429,5.22059,7.21429,8.35714,7.20588,6.76471,7.19697,7.72059,7.42647,8.10606,6.35714,6.07143,5.22727,6.95313,7.20588,8.42857,7.57576,7.21429,5.44118,7.5,7.64286,8.64286,8.35714,8.07143,8.21429,7.92857,8.14286,8.42857,7.72059,8.5,8.71429,6.92857,7.14286,NA,NA,NA,NA,NA,NA,NA,NA,7.42424,6.66667,7.72727
66,02M655,409,424,403,Life Sciences Secondary School,MS/HS,7.62275,7.0457,6.60876,6.11223,8.00758,7.8125,7.32416,7.73556,7.79321,5.27356,8.58994,7.03704,6.47059,7.87037,7.37616,6.341,8.6858,6.78788,7.30887,6.06383,6.44939,7.4696,6.77591,6.13982,7.85533,5.79897,4.93884,4.79294,6.01538,3.34862,6.65644,6.37957,5.71101,6.26947,6.93252,7.96779,7.4,7.7,7.1,7.3,7.8,7,7.5,7.9,8.4,7.6,7.6,8.1,7.6,7.9,8,8.1,8,8,8.1,7.5,6.9,7,7.4,7.6,7.8,7.2,3.4,7.7,7.8,8.3,6.3,6,5.4,8.19316,8.21447,7.70492,7.78205,8.4375,8.67188,7.57813,6.64063,7.34375,8.82813,8.51563,8.51563,8.82813,8.4375,6.01563,8.28125,7.90323,8.75,7.73438,7.73438,8.35938,8.35938,8.125,8.28125,7.89063,8.35938,8.67188,7.8125,9.33333,8.51563,7.57813,8.3871,8.04688,7.34375,7.66129,7.41935,7.17742,6.83333,7.8125,7.89063,7.96875,8.04688,7.96875,7.5,7.57813,7.26563,8.59375,7.10938,6.64063,8.41667,7.42188,8.35938,8.35938,7.03125,7.57813,8.70968,7.33871,7.73438,NA,NA,NA,NA,8.21429,7.5,8.92857,8.57143,7.9,7.9,7.8
67,03M283,406,379,408,Manhattan Theatre Lab High School,HS,6.74702,7.09336,5.8847,6.11067,7.36364,7.12617,7.04545,7.06818,7.08333,4.74299,7.59346,7.66055,6.34434,7.04128,5.625,3.96789,8.06818,6.62844,7.34234,6.8578,6.0514,6.58257,6.57407,6.29717,7.7957,5.96939,4.86239,4.70183,6.53302,3.59813,3.91204,7.28155,4.85437,6.48515,6.99029,7.675,7,6.7,6.2,6.8,6.8,5.7,6.4,6.8,7.3,6,6.4,7.3,5.6,6.5,7,6.8,7.5,6.7,6.5,6.7,5.7,7.1,6.9,6.2,6.8,7,4.8,7.2,6.6,7.3,7.5,7.5,6.7,6.25505,6.02983,5.7815,6.47222,6.04167,6.25,6.13636,6.04167,5.625,6.04167,5.625,5.83333,6.04167,5.83333,7.91667,6.875,6.36364,6.25,6.25,5.20833,6.66667,6.04167,6.13636,6.13636,5.41667,7.04545,5.83333,6.25,7.70833,4.375,7.04545,5.83333,5.20833,4.16667,2.91667,4.375,5.83333,5.90909,5.22727,6.25,6.25,5.90909,6.13636,5,5.625,6.875,7.5,6.25,4.79167,6.66667,7.5,7.08333,7.70833,6.66667,6.66667,7.08333,7.08333,7.08333,NA,NA,NA,NA,NA,NA,NA,NA,6.36364,5.90909,6.13636
68,03M299,374,384,374,"High School for Arts, Imagination and Inquiry",HS,7.63475,7.45427,6.67725,6.86311,8.36262,7.98878,7.62019,7.75806,7.62945,5.69355,8.26052,7.71036,6.79153,7.86885,7.10396,6.61475,8.50639,7.27419,7.77244,7.3722,7.07668,7.83654,7.03226,7.04397,8.37452,6.55694,5.16935,5.10518,6.2541,5.68994,5.25244,7.82787,6.42395,6.66396,7.14286,8.40164,8.3,8.3,7.8,8.2,8.5,7.9,7.9,8.5,8.4,8.2,8.3,8.4,7.9,8.3,8.3,8.4,8.3,8.4,8.5,8.2,8.2,8.3,8.5,8.1,8,8,5.2,8.8,8.2,8.3,8.5,8.5,7.8,7.20679,7.44168,7.29178,7.52469,7.5,7.31481,7.22222,5.09259,7.59259,7.12963,6.85185,7.59259,7.68519,8.88889,7.87037,7.96296,7.5,7.87037,7.96296,4.81481,6.66667,7.12963,6.38889,6.53846,7.21154,8.7037,8.51852,7.12963,9.32692,8.98148,8.42593,7.59259,8.51852,7.22222,6.38889,7.6,7.88462,7.40385,6.01852,7.87037,7.40385,7.96296,6.75926,5.92593,7.22222,7.68519,8.75,7.59259,5.83333,7.59259,5.92593,7.22222,8.36538,6.2963,6.75926,8.05556,8.75,7.31481,NA,NA,NA,NA,NA,NA,NA,NA,6.2963,6.11111,6.85185
69,03M307,384,390,370,"Urban Assembly School for Media Studies, The",HS,7.54009,7.57165,6.65097,6.97673,7.88026,7.89644,7.46764,7.52427,7.5974,5.1461,8.08775,8.08824,7.0477,7.83607,7.56579,6.93333,8.29839,7.19256,7.71774,7.30583,7.02419,7.5974,7.15909,7.16997,8.13657,6.39405,5.30328,5.16393,5.78125,6.17987,5.73191,7.80328,6.89344,7.23333,7.81863,8.06931,8.1,8,7.7,8.3,8.1,7.1,7.7,8.5,8.8,7.9,7.7,8.1,7.6,8.1,8,8.2,8.2,7.8,8.1,8,8,8.3,8.5,8.6,8.6,7.8,5.7,8.3,8.2,8.2,8.3,8.3,7.9,8.93028,8.90833,8.57807,8.17333,9.2,9.4,8.9,9.2,9.16667,9.4,8.9,9.4,9.1,9.4,9,8.9,8.4,9,7.7,7.8,8.85417,9,9.4,8.8,8.2,9.3,9.5,7.4,9.4,9.1,9.5,9.4,8.5,8,8.3,8.8,8.6,7.5,8.22917,8.5,8.6,8.8,8.1,8.85417,8.1,8.7,9.3,7.4,7.3,9,7.8,8.4,9.1,7,6.8,7,8.7,8.6,NA,NA,NA,NA,NA,NA,NA,NA,8.8,8.5,8.8
70,03M404,416,403,381,INNOVATION DIPLOMA PLUS,HST,9.0306,9.23402,8.67694,8.93665,9.21642,9.25373,9.29104,9.14179,8.95522,8.14394,9.32836,9.26923,8.57692,9.03846,8.90625,8.97727,9.21642,9.16667,9.25373,9.1791,9.06716,9.29104,9.14179,9.09091,8.89423,8.94531,7.86765,7.90441,8.27206,8.49265,8.60294,8.89706,9.08088,9.4403,9.33824,9.26471,8.6,8.7,8.5,8.6,8.9,8.6,8.7,8.9,8.8,8.8,8.9,8.8,8.5,8.8,8.7,8.7,8.6,8.3,8.5,8.8,8.5,8.8,9,8.6,8.7,8.2,7.1,8.7,8.9,8.5,8.3,8.3,8.3,8.3,8.0625,7.75627,7.98968,7.16667,6.66667,7.83333,8.16667,8.5,8.16667,7,7.33333,8.33333,8.33333,9,8.33333,8,8.66667,8.16667,6,8.33333,8.33333,8,8,7.66667,9,8.5,8.66667,8.75,8.83333,9.5,8.83333,8,7.33333,6.66667,7.16667,8,6,7.14286,8.5,8.83333,8.83333,8,6.83333,7.67857,8.57143,8.75,8.03571,7.5,9.64286,7.85714,8.75,9.64286,3.03571,7.5,8.21429,8.39286,8.75,NA,NA,NA,NA,NA,NA,NA,NA,7.33333,8.83333,8.33333
71,03M415,371,368,370,Wadleigh Secondary School for the Performing & Visual Arts,MS/HS,7.13599,7.0639,6.70704,6.56798,7.75685,7.39619,6.82292,7.0976,7.21552,5.8564,7.76132,7.47405,6.81034,7.19828,6.6955,5.90081,8.27911,6.97695,7.47387,6.86842,6.44876,7.46491,6.89474,6.4805,7.57009,5.89147,4.86796,4.94737,6.05872,5.42254,6.32143,7.50909,6.70909,6.9052,7.32472,7.63787,7.9,7.7,7.6,7.9,7.7,7.4,7.6,8.1,8.2,7.9,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.8,7.8,7.7,7.7,7.9,8,8.2,8.2,7.7,5.3,7.4,7.5,7.5,8.3,8,8.3,7.44279,6.63772,6.61186,7.19759,7.95455,7.42647,6.91176,7.05882,6.47059,7.57353,6.39706,7.12121,6.36364,6.36364,7.65152,7.64706,6.10294,7.64706,7.27941,5.95588,7.20588,7.5,6.98529,7.19697,6.98529,8.45588,6.64286,6.35714,8.60294,6.35714,7.72059,7.5,6.17647,5.88235,6.28571,5.58824,6.07143,5.14706,6.04839,5.88235,6.35714,7.35714,5.29412,5.30303,6.59091,7.35294,8,8.08824,7.05882,7.86765,6.83824,7.26563,7.87879,6.91176,7.13235,8.01471,6.76471,7.35714,NA,NA,NA,NA,7.5,9.16667,9.16667,7.5,6.46552,6.6129,7.74194
72,03M479,577,575,592,Beacon High School,HS,8.43669,7.66534,7.89672,8.25038,9.12069,8.6665,7.80029,8.40128,7.7862,6.60942,9.24926,7.30564,7.48281,8.30409,8.1177,7.43602,9.20466,8.28155,9.08672,8.97959,7.69306,7.50488,7.89009,7.50733,8.88235,7.73931,7.51701,7.7551,8.08049,7.79483,8.22745,7.56579,9.25954,8.66517,8.95089,9.4861,8.6,8.2,8.4,8.7,8.1,7.1,8.3,8.5,9.2,8.2,7.8,8.5,8.7,9.1,8.7,8.6,8.6,8.4,8.9,8.7,8.3,8.7,8.9,8.6,8.8,8.4,8.3,8.3,8.8,8.7,8.3,8.6,7.5,8.04667,7.38503,7.62565,7.86909,7.97872,7.98913,6.43617,5.42553,7.44681,7.12766,7.18085,8.29787,7.87234,8.45745,8.24468,6.54255,5.74468,8.40426,8.19149,8.82979,9.04255,8.7766,8.1383,8.24468,7.11957,8.33333,8.07292,8.28125,8.48958,7.70833,8.4375,7.60417,8.51064,8.17708,8.54167,6.66667,8.02083,5.61111,6.84783,7.39583,8.33333,8.38542,7.34375,5.64286,7.60417,7.55208,8.90625,8.64583,7.55208,8.33333,7.86458,7.76042,8.52273,4.73404,7.29167,9.27083,7.65957,8.69565,NA,NA,NA,NA,NA,NA,NA,NA,8.56383,7.65957,8.19149
73,03M485,566,564,577,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,HS,7.60509,6.82658,7.13274,7.70455,8.61856,7.86837,6.72546,6.93066,7.04709,5.41205,8.72979,6.79403,6.72048,7.62807,7.07944,6.13588,8.56417,7.78662,8.65214,8.37638,7.84048,7.57372,6.96026,6.95406,8.2872,6.35271,7.01784,6.5649,7.44887,5.15291,7.45736,7.04024,9.08797,8.64154,9.03475,9.57403,7.8,7.9,8.2,8.2,8,6.8,8,8.4,9,7.8,7.7,8.3,8.6,8.6,8.1,8,7.8,7.6,8.3,8,7.8,7.8,8.8,8.3,8.4,7.8,8.3,7.9,8.2,8.1,6.5,6.7,7.3,7.58571,6.63043,7.05255,8.01851,7.17391,6.26812,5.51471,5,5.14493,6.92029,6.48551,5.33088,5.86957,6.84783,5.9058,7.13768,6.30435,7.3913,8.16176,8.4058,8.4058,8.26087,7.86765,6.58088,7.83088,8.8806,6.41304,7.86765,8.36957,7.5,7.82609,7.64925,8.69565,8.91304,9.05797,5.40441,5.95588,5.22059,7.27941,7.17391,7.97101,8.04348,5.97826,4.73485,8.04348,7.86232,9.38406,8.84058,8.22464,8.76812,8.55072,7.72059,8.78676,6.39706,8.18841,9.27536,7.53676,7.13768,NA,NA,NA,NA,NA,NA,NA,NA,8.19853,8.05147,8.39552
74,03M492,396,398,402,"High School for Law, Advocacy and Community Justice",HS,7.7272,7.30036,6.80088,6.7446,8.21429,8.10453,7.82995,7.91667,7.7904,6.02015,8.51684,7.08122,6.67519,7.84351,7.41667,6.3648,8.62091,6.94584,7.8346,7.0466,6.76508,7.74112,6.98992,6.91624,7.96935,6.2931,5.21154,5.21046,6.48338,5.46272,6.39386,7.42839,6.17571,7.05381,7.34576,7.93928,7.7,7.8,7.6,7.8,7.8,7.8,7.7,7.8,7.8,7.8,7.7,7.8,7.6,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.7,7.8,7.7,7.8,7.8,7.7,6.9,7.8,7.8,7.8,7.4,7.4,7.4,7.85463,8.3237,7.77089,7.58923,8.61842,8.22368,7.97297,7.43421,8.61842,8.75,8.35526,7.63158,8.94737,9.05405,8.61842,8.28947,7.5,8.22368,7.56579,6.51316,7.43421,7.82895,7.89474,7.97297,7.96053,8.75,8.91892,8.24324,8.78378,8.40278,8.26389,8.14286,7.56757,7.16216,6.82432,7.16216,7.83784,7.22222,7.01389,7.90541,7.89474,8.28947,5.64286,7.84722,7.5,8.02632,8.68421,6.44737,6.84211,8.02632,6.71053,7.82895,8.44595,6.97368,7.10526,7.30263,7.30263,7.63158,NA,NA,NA,NA,NA,NA,NA,NA,7.43243,8.10811,8.24324
75,03M494,433,433,411,High School of Arts and Technology,HS,7.29089,7.1638,6.36575,6.68536,7.80612,7.67812,7.22436,7.21374,7.44231,5.08312,8.12339,7.37758,6.52062,7.47423,6.82943,6.16234,8.21066,6.98473,7.54453,7.19388,7.15649,7.03205,6.88946,6.35013,8.17518,6.16329,5.2785,5.04557,5.96859,5.83549,5.0651,7.46104,6.58203,6.77822,7.25066,7.92318,7.7,7.8,7.6,7.7,8.3,7.2,7.3,8.1,8.5,7.9,7.7,8.1,7.5,7.9,7.6,7.7,7.6,7.8,7.8,7.7,7.3,7.5,7.9,7.9,8.3,7.7,5.5,8,7.7,8,7.8,7.6,6.8,7.37205,6.99519,7.33485,7.46154,6.63462,7.59615,6.92308,6.63462,7.59615,7.30769,5.96154,7.11538,7.30769,7.98077,7.59615,7.88462,7.40385,7.69231,7.59615,6.82692,6.63462,7.21154,7.11538,7.40385,6.73077,7.6,7.69231,8.55769,9.32692,8.94231,8.17308,8.17308,7.69231,6.2,5.86538,7.11538,7.21154,6.8,6.45833,6.63462,7.11538,7.59615,7.30769,7.01923,6.05769,6.53846,8.07692,7.30769,6.53846,8.84615,7.5,8.36538,8.65385,6.25,6.05769,7.59615,7.5,8.36538,NA,NA,NA,NA,NA,NA,NA,NA,6.34615,7.40385,7.78846
76,03M505,401,369,351,Edward A. Reynolds West Side High School,HST,7.84838,7.51663,7.52857,8.11536,8.37696,8.16489,7.76316,8.10811,7.96053,6.94444,8.32895,7.19415,7.10526,7.68717,7.48663,7.32713,8.01047,8.03763,8.25,8.03476,7.7381,7.84392,7.59259,7.73936,7.78523,7.87572,7.00269,7.01087,7.03297,7.7957,7.77027,8.70321,8.86486,8.8369,8.95161,8.96739,8.6,8.3,8.3,8.7,8.3,7.9,7.8,9,8.8,8.8,8.4,8.8,8.5,8.5,8.4,8.5,8.6,8.5,8.8,8.6,8.8,8.6,8.9,8.7,8.5,8.6,5.3,8.8,8.7,8.7,8.3,8.7,8.8,8.49337,7.49952,8.16727,8.10598,8.10811,8.51351,8.33333,8.81944,7.22973,8.24324,6.95946,8.17568,7.02703,7.77027,8.01471,8.51351,7.5,8.31081,8.78378,9.12162,8.51351,8.44595,8.04054,7.84722,8.17568,9.16667,7.84722,8.125,9.19118,8.05556,8.68056,8.61111,7.56944,7.84722,8.26389,7.29167,7.77778,7.01389,7.27273,7.5,7.42857,8.40909,9.51389,7.92857,7.43243,7.98611,8.95833,8.71622,7.77027,9.05405,7.22973,8.44595,9.05405,5.625,7.97297,8.19444,9.25676,9.12162,NA,NA,NA,NA,NA,NA,NA,NA,7.63514,9.25676,8.51351
77,03M541,473,506,467,Manhattan / Hunter Science High School,HS,8.22195,7.69956,7.23352,8.05676,8.93959,8.39974,7.72021,8.31395,8.04264,6.1263,8.83075,7.76923,7.10897,8.07051,7.81491,7.35219,8.92949,7.66067,8.46899,8.09126,7.49357,8.19121,7.60925,7.78424,8.47859,7.27397,7.04134,7.27273,7.52577,6.73127,6.79306,8.98964,8.93135,8.5026,8.64583,9.37662,8.3,8.5,8.3,8.6,8.8,8.1,8.2,8.8,8.8,8.8,8.5,8.9,8.1,8.7,8.7,8.8,8.7,8.7,8.9,8.7,8.3,8.8,8.8,8.7,8.8,8.4,6.6,8.4,8.5,8.5,7.5,6.3,7.5,9.23718,9.23077,9.05924,9.39051,9.32692,9.61538,9.13462,8.55769,9.23077,9.51923,9.32692,9.80769,9.71154,9.42308,9.23077,8.36538,8.26923,9.32692,9.13462,8.46154,9.61538,9.51923,9.23077,9.32692,9.42308,9.51923,9.32692,9.80769,8.75,9.23077,9.32692,9.32692,9.90385,9.51923,9.80769,8.17308,8.75,8.26923,8.6,9.03846,9.42308,9.32692,8.94231,8.33333,9.51923,9.80769,9.8,9.61538,9.32692,9.32692,9.51923,9.32692,9.42308,9.23077,9.42308,9.90385,8.55769,8.84615,NA,NA,NA,NA,NA,NA,NA,NA,9.03846,8.75,9.03846
78,03M860,356,379,361,Frederick Douglass Academy II Secondary School,MS/HS,7.70095,7.63461,6.49027,6.12238,8.3612,8.11856,7.48288,7.61444,7.61285,4.93174,8.49138,8.14433,6.52211,8.05461,7.49132,7.33491,8.54096,6.59483,6.80556,6.24144,6.09375,7.62799,7.27663,7.63841,8.47046,6.0322,3.70777,4.06678,5.38927,4.57071,5.9322,8.02768,5.24914,5.7732,6.20209,7.67668,7.8,8.5,7.8,8,8.9,8.3,8.3,8.8,8.7,8,8,8.4,7.8,8.6,8.4,8.4,8.4,8.4,8.5,8.5,8,7.9,8.1,8.3,8.2,7.7,5.1,8.3,8,8.4,6.1,6.3,6.3,6.83114,7.06805,6.33382,7.23219,8.4375,7.29167,6.14583,5.20833,8.02083,7.28261,6.77083,6.66667,6.04167,7.5,6.875,7.70833,5.72917,8.22917,6.45833,6.14583,7.39583,6.97917,6.77083,5.9375,5,8.22917,6.5625,6.5625,7.70833,7.39583,8.125,7.8125,6.25,5.20833,5.72917,5,6.875,4.02174,5.79545,7.28261,6.97917,7.6087,4.0625,6.25,5.3125,6.66667,7.39583,7.1875,5.9375,8.64583,5.72917,7.39583,8.64583,7.60417,6.875,8.4375,8.58696,7.8125,NA,NA,NA,NA,5.3125,5.9375,7.5,7.5,6.25,6.875,7.5
79,04M409,354,357,373,Coalition School for Social Change,HS,7.76549,7.74018,6.96695,7.2683,8.30087,8.25,7.93668,8.29694,8.19079,6.01087,8.29348,7.88043,7.13974,7.88043,7.1087,6.28821,8.62661,7.70563,7.97414,7.70386,6.67749,7.35991,7.40343,7.81659,7.9023,7.27723,6.00897,5.67265,6.41892,6.03795,6.07623,8.50225,6.69683,7.63699,8.04299,8.34842,7.3,7.6,7.1,8,7.9,7.2,7.2,8.2,8.1,7.4,7.4,7.7,6.8,7.7,7.6,7.9,7.8,7.5,7.6,7.2,7,7.6,8.3,8.1,7.8,7.9,4.4,8,7.6,7.9,6.4,6.4,6.4,8.55573,8.31909,8.55263,8.37037,8.61111,8.98148,8.46154,8.61111,7.22222,8.98148,8.05556,8.14815,8.51852,8.98148,8.61111,8.7963,8.24074,8.7963,9.25926,7.5,8.14815,8.61111,8.51852,8.88889,8.61111,9.44444,8.88889,8.7963,9.16667,8.14815,9.53704,9.16667,8.14815,7.40741,7.68519,8.84615,9.03846,7.69231,7.98077,8.17308,8.75,9.13462,7.59615,8.84615,7.31481,7.12963,8.98148,8.51852,8.33333,9.07407,7.96296,8.7963,9.44444,7.77778,8.51852,8.33333,9.16667,8.51852,NA,NA,NA,NA,NA,NA,NA,NA,7.40385,8.4,8.26923
80,04M435,461,514,455,Manhattan Center for Science and Mathematics,HS,7.58857,6.8989,6.86249,7.19909,8.3398,7.8169,7.33546,8.00887,7.32422,5.56955,8.38058,6.61142,6.40149,7.43134,7.03887,6.28648,8.47673,7.36405,7.98867,7.53006,7.06307,7.08007,6.74982,7.25124,7.93991,6.58708,5.75586,5.78424,6.78191,5.11871,7.03743,7.61691,8.05973,7.80689,8.14875,8.99605,7.7,7.8,7.3,7.4,8,7.4,7.7,8,8,7.8,7.6,7.9,8,8,7.9,7.8,8.1,7.9,8,7.8,7.5,7,7.8,7.8,7.6,7.2,4.4,7.7,7.8,7.6,7.5,7.4,6.9,8.35901,7.4716,7.98646,8.38688,7.42857,7.28571,7.3913,7.42754,7.35294,7.68116,7.10145,7.12687,6.81159,7.27941,8.00725,7.86232,7.42754,7.71429,8.39286,7.93478,8.42857,8.60714,8.42857,8.46429,8.21429,9.0942,7.42754,7.86232,9.42857,8,8.82143,8.75,8.35714,8.35714,8.35714,7.46429,7.75,7.67857,7.67857,7.68382,8.28571,8.18841,7.96429,7.75362,8.26087,7.71739,9.07143,8.5,8.14286,8.98551,8.82143,9.2029,9,8.17857,8.28571,8.82143,8.17857,8.35714,NA,NA,NA,NA,NA,NA,NA,NA,8.62319,8.28571,9
81,04M495,373,379,376,Park East High School,HS,8.19155,7.95669,7.74735,7.98966,8.65672,8.33828,8.02326,8.2478,8.17449,6.63768,8.43567,7.95322,7.62319,8.36735,8.10673,7.41912,8.90988,8.31378,8.47101,8.38192,7.92878,8.63636,7.89359,7.88406,8.33696,7.78135,6.33824,6.78779,7.25948,7.77697,7.82514,9.2145,7.58929,7.91791,8.20997,8.93713,8.5,8.4,8,8.4,8.8,8.1,8.2,8.8,8.8,8.5,8.3,8.4,8.3,8.6,8.6,8.6,8.6,8.4,8.5,8.4,8.1,8.5,8.6,8.4,8.5,8.2,5,8.4,8.4,8.4,8.4,8.4,8.1,8.12756,7.4794,7.45264,8.45131,6.60714,7.23214,5.80357,5.71429,8.125,6.78571,6.33929,8.03571,7.05357,8.21429,8.14815,8.05556,7.69231,8.75,7.59615,7.78846,7.78846,7.98077,7.69231,7.78846,8.65385,8.36538,7.05357,7.96296,8.48214,8.61111,8.83929,8.14815,7.76786,7.22222,7.67857,7.94643,8.42593,7.1,5.83333,8.66071,8.57143,8.51852,7.96296,5.92593,7.67857,8.21429,9.375,8.94231,7.31481,8.42593,7.94643,8.39286,9.4,9.16667,8.51852,8.88889,8.24074,8.83929,NA,NA,NA,NA,NA,NA,NA,NA,7.87037,7.58929,8.39286
82,04M555,405,421,395,Central Park East High School,HS,8.36437,7.76375,7.39888,7.94532,8.80893,8.62624,8.03483,8.56079,8.21517,6.19077,9,7.825,7.30528,8.28321,8.12344,7.99748,9.06948,8.16998,8.48635,8.38089,7.63614,8.43284,7.43142,7.6799,8.13931,7.55831,6.37097,6.38682,6.95896,7.04094,7.18905,8.79375,8.07357,8.19375,8.60973,9.59057,8.7,8.6,8,8.6,8.7,8.3,8.5,8.5,8.4,8.4,8.2,8.6,8.3,8.7,8.5,8.5,8.8,8.7,8.8,8.8,8.3,8.3,8.9,8.5,8.2,8.5,5.5,8.7,8.7,8.8,9.3,8.2,8.9,8.53671,8.51277,8.18627,8.78136,8.22581,8.54839,7.25806,6.72414,8.46774,8.62903,9.27419,8.22581,8.54839,9.1129,8.87097,7.58065,7.25806,8.66667,9.03226,8.22581,8.95161,8.70968,8.5,8.33333,7.58333,9.58333,9.03226,9.03226,8.95161,8.33333,8.25,8.53448,9.27419,8.14516,8.62903,7.08333,7.66667,6.92308,6.81034,8.66667,9.03226,8.79032,9.08333,6.94444,9.1129,9.19355,9.67742,9.03226,8.62903,8.79032,8.3871,8.46774,9.59677,8.46774,8.46774,9.27419,8.54839,8.22581,NA,NA,NA,NA,NA,NA,NA,NA,8.46774,8.46774,9.1129
83,04M610,432,446,448,Young Women's Leadership School,MS/HS,8.63786,8.10327,7.53884,8.29994,9.24129,8.82716,8.18688,8.47395,8.43358,6.9625,9.36881,8.03837,7.89702,8.63524,8.6448,7.9529,9.28218,8.32302,8.80273,8.53598,8.21072,8.66337,8.08458,8.1903,8.33333,7.63743,6.73697,7.09577,7.5187,7.59328,6.1783,9.58015,8.64557,8.21247,8.69318,9.60127,8.5,8.6,8.1,8.5,9,8.1,8.3,8.8,9,8.3,8.4,8.6,8,8.9,8.7,8.7,8.8,8.6,8.9,8.9,8.4,8.7,8.9,8.4,8.6,8,6.1,8.5,8.7,8.6,7.9,8.1,7.6,9.12873,9.13462,8.8731,9.23478,9.25926,8.88889,8.14815,7.12963,9.44444,8.88889,8.75,9.07407,9.35185,9.53704,8.51852,8.24074,8.05556,9.44444,9.07407,8.51852,9.53704,9.53704,9.16667,8.61111,9.35185,9.90741,9.81481,9.81481,9.90741,9.72222,8.88889,9.53704,8.98148,9.44444,9.81481,8.65385,8.55769,7.11538,8.65385,9.51923,9.80769,9.51923,9.03846,8.33333,9.7,9.9,10,9.375,7.9,9.6875,8.9,8.5,9.7,9,8.1,9.4,9.1,9.7,NA,NA,NA,NA,8.61111,8.05556,9.44444,9.16667,9.16667,9.33333,9.33333
84,04M635,369,369,357,Academy of Environmental Science Secondary High School,HS,7.91251,8.0957,7.25333,8.04208,8.27465,8.14286,8.02817,8.27465,7.78169,6.72535,8.47826,8.4375,7.56944,7.70833,7.32639,7.42754,8.54167,8.02817,8.30986,8.4375,7.88732,7.70833,7.82143,7.60714,7.5,7.61029,7.43056,7.25694,7.16912,6.66667,6.44366,9.16667,8.57639,8.18841,8.50694,9.23611,8.1,7.9,7.4,7.9,8.2,7.5,7.5,8.1,8.3,8,7.6,7.8,7.3,8,7.9,7.9,8.2,7.7,7.8,7.9,7.6,7.8,8.3,7.9,7.5,7.5,5,8.1,7.9,8.2,8.6,8.8,8.4,7.94444,8.22569,7.6473,7.6537,8.25,8,8.5,7.25,8,8.75,8,8.5,8.5,8,9.25,8.5,8.25,8.5,6.25,6.25,7.75,7.25,7.25,6.75,8,9.16667,8,6.5,9.6875,8.5,8.5,8,8,6.25,6.25,8.61111,8.75,8.25,7.25,8,8.05556,7.25,7.5,6.5,7.5,7.5,8.5,7.5,6.75,8.5,7,7.77778,8.5,7,7,8.5,7,7.77778,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,8.5
