dbn,X..of.SAT.Takers.in.2014,Avg.SAT.Critical.Reading.Score.in.2014,Avg.SAT.Math.Scores.in.2014,Avg.SAT.Writing.Scores.in.2014,school_name,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time
02M425,81,419,415,419,Leadership and Public Service High School,9,12,10006,685,,Art History; Calculus AB; Comparative Government and Politics; English Language and Composition; English Literature and Composition; Spanish Literature and Culture; United States History; World History,Biology; Chemistry; Environmental Science; European History; Macroeconomics; Microeconomics; Physics B,8:30 AM,2:45 PM
02M429,18,377,342,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M439,115,457,478,471,Manhattan Village Academy,9,12,10010,414,,Biology; Calculus AB; English Literature and Composition; Psychology; United States History,,8:00 AM,3:20 PM
02M440,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M445,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M449,77,397,423,392,Vanguard High School,9,12,10065,469,Consortium School,Calculus AB,,8:00 AM,3:00 PM
02M459,44,350,468,363,Manhattan International High School,9,12,10065,331,Consortium; International School,Calculus AB; United States History,,8:45 AM,3:05 PM
02M460,73,392,402,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M475,823,678,737,680,Stuyvesant High School,9,12,10282,3292,Specialized School,Biology; Calculus AB; Calculus BC; Chemistry; Chinese Language and Culture; Comparative Government and Politics; English Language and Composition; English Literature and Composition; Environmental Science; European History; French Language and Culture; Human Geography; Italian Language and Culture; Japanese Language and Culture; Macroeconomics; Microeconomics; Music Theory; Physics B; Physics C: Electricity and Magnetism; Physics C: Mechanics; Psychology; Spanish Language and Culture; Spanish Literature and Culture; Statistics; United States Government and Politics; United States History; World History,,8:00 AM,3:30 PM
02M489,115,442,481,433,High School of Economics and Finance,9,12,10006,767,,Biology; Calculus AB; English Language and Composition; English Literature and Composition; Environmental Science; Spanish Language and Culture; United States History,,8:30 AM,3:30 PM
02M500,22,357,349,346,Unity Center for Urban Technologies,9,12,10016,255,,,,8:15 AM,4:00 PM
02M519,151,468,480,469,Talent Unlimited High School,9,12,10065,530,,Biology; Chemistry; English Literature and Composition; United States History,Biology,8:10 AM,3:20 PM
02M520,228,393,409,378,Murry Bergtraum High School for Business Careers,9,12,10038,1466,,Art History; Biology; Calculus AB; English Language and Composition; English Literature and Composition; Spanish Language and Culture; United States History,,8:00 AM,3:00 PM
02M529,101,412,406,405,Jacqueline Kennedy Onassis High School,9,12,10036,709,,Biology; Calculus AB; English Language and Composition; English Literature and Composition; Spanish Literature and Culture; United States History; World History,,8:00 AM,3:00 PM
02M531,44,435,431,440,Repertory Company High School for Theatre Arts,9,12,10036,236,,Biology; Calculus AB; English Literature and Composition; Music Theory; World History,Spanish Language and Culture,8:15 AM,3:30 PM
02M535,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M542,80,353,383,341,Manhattan Bridges High School,9,12,10019,552,,Calculus AB; English Language and Composition; Macroeconomics; Spanish Language and Culture; Spanish Literature and Culture; Statistics,,8:00 AM,3:45 PM
02M543,78,374,380,373,New Design High School,9,12,10002,439,,English Literature and Composition; United States History,,8:40 AM,2:56 PM
02M544,s,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M545,83,443,603,441,High School for Dual Language and Asian Studies,9,12,10002,410,,Biology; Calculus AB; Calculus BC; Chemistry; Chinese Language and Culture; English Language and Composition; Human Geography; Statistics; United States History,,8:00 AM,3:35 PM
02M550,24,346,452,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M551,80,438,439,419,Urban Assembly New York Harbor School,9,12,10004,439,CTE School,Calculus AB; English Literature and Composition; Environmental Science,,8:15 AM,4:00 PM
02M560,73,492,432,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M565,26,536,505,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M570,7,407,379,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M575,97,366,491,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02M580,81,408,413,409,Richard R. Green High School of Teaching,9,12,10004,593,,English Language and Composition; English Literature and Composition; United States Government and Politics; United States History,,8:30 AM,3:20 PM
02M586,12,416,367,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
