DBN,school_name,gender,cohort_num
02M543,NEW DESIGN HIGH SCHOOL,Female,59
02M543,NEW DESIGN HIGH SCHOOL,Male,30
02M544,INDEPENDENCE HIGH SCHOOL,Female,113
02M544,INDEPENDENCE HIGH SCHOOL,Male,112
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,Female,34
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,Male,43
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Female,36
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Male,47
02M551,NEW YORK HARBOR SCHOOL,Female,35
02M551,NEW YORK HARBOR SCHOOL,Male,55
02M560,HIGH SCHOOL 560 CITY-AS-SCHOOL,Female,187
02M560,HIGH SCHOOL 560 CITY-AS-SCHOOL,Male,123
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,Female,17
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,Male,15
02M570,SATELLITE ACADEMY HIGH SCHOOL,Female,60
02M570,SATELLITE ACADEMY HIGH SCHOOL,Male,43
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Female,149
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Male,206
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,Female,77
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,Male,49
02M586,HARVEY MILK HIGH SCHOOL,Female,9
02M586,HARVEY MILK HIGH SCHOOL,Male,22
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,Female,348
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,Male,36
02M605,HUMANITIES PREPARATORY ACADEMY,Female,39
02M605,HUMANITIES PREPARATORY ACADEMY,Male,24
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Female,49
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Male,104
02M620,NORMAN THOMAS HIGH SCHOOL,Female,275
02M620,NORMAN THOMAS HIGH SCHOOL,Male,277
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,Female,208
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,Male,193
02M630,ART AND DESIGN HIGH SCHOOL,Female,143
02M630,ART AND DESIGN HIGH SCHOOL,Male,131
02M655,LIFE SCIENCES SECONDARY SCHOOL,Female,55
02M655,LIFE SCIENCES SECONDARY SCHOOL,Male,58
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,Female,53
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,Male,38
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",Female,33
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",Male,54
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,Female,47
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,Male,48
03M404,INNOVATION DIPLOMA PLUS,Female,71
03M404,INNOVATION DIPLOMA PLUS,Male,60
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,Female,69
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,Male,53
03M470,LOUIS D BRANDEIS HIGH SCHOOL,Female,222
03M470,LOUIS D BRANDEIS HIGH SCHOOL,Male,230
03M479,BEACON HIGH SCHOOL,Female,166
03M479,BEACON HIGH SCHOOL,Male,118
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,Female,446
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,Male,155
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",Female,63
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",Male,39
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,Female,45
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,Male,97
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,Female,146
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,Male,92
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,Female,50
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,Male,62
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,Female,27
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,Male,37
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,Female,60
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,Male,46
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,Female,203
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,Male,185
04M495,PARK EAST HIGH SCHOOL,Female,45
04M495,PARK EAST HIGH SCHOOL,Male,39
04M555,CENTRAL PARK EAST HIGH SCHOOL,Female,32
04M555,CENTRAL PARK EAST HIGH SCHOOL,Male,30
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,Female,64
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,Female,53
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,Male,45
04M680,HERITAGE SCHOOL (THE),Female,35
04M680,HERITAGE SCHOOL (THE),Male,42
05M172,POWELL MIDDLE SCHOOL FOR LAW AND SOCIAL JUST,Male,1
05M285,HARLEM RENAISSENCE HIGH SCHOOL,Female,58
05M285,HARLEM RENAISSENCE HIGH SCHOOL,Male,31
05M304,MOTT HALL HIGH SCHOOL,Female,46
05M304,MOTT HALL HIGH SCHOOL,Male,47
05M367,ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,Female,33
05M367,ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,Male,20
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,Female,56
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,Male,14
05M469,CHOIR ACADEMY OF HARLEM,Female,31
05M469,CHOIR ACADEMY OF HARLEM,Male,14
05M499,FREDERICK DOUGLASS ACADEMY,Female,97
05M499,FREDERICK DOUGLASS ACADEMY,Male,107
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,Female,54
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,Male,41
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,Female,64
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,Male,65
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,Female,38
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,Male,73
06M293,CITY COLLEGE ACADEMY OF THE ARTS,Female,1
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Female,1
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,Male,1
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,Female,71
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,Male,98
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,Female,58
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,Male,91
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,Female,93
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,Male,81
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,Female,94
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,Male,81
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Female,184
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Male,143
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,Female,51
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,Male,38
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,Female,36
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,Male,30
07X321,CROTONA ACADEMY HIGH SCHOOL,Female,28
07X321,CROTONA ACADEMY HIGH SCHOOL,Male,21
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,Female,4
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,Male,1
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,Female,50
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,Male,42
