zipcode,zipcode_lonlat,population,avg_household
10312,"40.547291, -74.179264","58,867","$67,728.00"
10309,"40.530847, -74.221178","27,207","$65,397.00"
10307,"40.506815, -74.241709","11,669","$64,159.00"
10308,"40.551236, -74.150961","26,451","$61,868.00"
10314,"40.598825, -74.163336","84,821","$59,560.00"
10306,"40.569755, -74.122141","55,698","$55,413.00"
10305,"40.596691, -74.074866","38,450","$48,944.00"
10310,"40.632516, -74.116461","22,852","$46,198.00"
10301,"40.627456, -74.094407","38,805","$45,620.00"
10303,"40.629885, -74.174130","23,530","$42,463.00"
10302,"40.630820, -74.137841","16,406","$42,452.00"
10304,"40.603589, -74.102477","38,972","$41,041.00"
