DBN,school_0me,male,female,male_ratio,female_ratio
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,51,54,0.485714286,0.514285714
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH,36,61,0.371134021,0.628865979
19K583,MULTICULTURAL HIGH SCHOOL,46,60,0.433962264,0.566037736
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION,281,79,0.780555556,0.219444444
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,1,0,1,0
19K639,BROOKLYN LAB SCHOOL,4,1,0.8,0.2
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,57,56,0.504424779,0.495575221
19K660,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,84,155,0.351464435,0.648535565
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS,",1,0,1,0
20K445,NEW UTRECHT HIGH SCHOOL,389,256,0.603100775,0.396899225
20K485,HIGH SCHOOL OF TELECOMMUNICATIONS ARTS AND TECHNOL,183,148,0.552870091,0.447129909
20K490,FORT HAMILTON HIGH SCHOOL,612,532,0.534965035,0.465034965
20K505,FRANKLIN D ROOSEVELT HIGH SCHOOL,476,346,0.579075426,0.420924574
21K337,INTER0TIO0L HIGH SCHOOL AT LAFAYETTE,31,31,0.5,0.5
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,52,65,0.444444444,0.555555556
21K348,HIGH SCHOOL OF SPORTS MA0GEMENT,50,9,0.847457627,0.152542373
21K410,ABRAHAM LINCOLN HIGH SCHOOL,427,289,0.596368715,0.403631285
21K525,EDWARD R MURROW HIGH SCHOOL,404,583,0.409321175,0.590678825
21K540,JOHN DEWEY HIGH SCHOOL,371,362,0.506139154,0.493860846
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,19,18,0.513513514,0.486486486
21K572,EXPEDITIO0RY LEARNING SCHOOL FOR COMMUNITY LEADER,18,17,0.514285714,0.485714286
21K620,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,227,55,0.804964539,0.195035461
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,77,100,0.435028249,0.564971751
21K728,LIBERATION DIPLOMA PLUS,37,60,0.381443299,0.618556701
22K405,MIDWOOD HIGH SCHOOL,418,514,0.448497854,0.551502146
22K425,JAMES MADISON HIGH SCHOOL,388,338,0.534435262,0.465564738
22K495,SHEEPSHEAD BAY HIGH SCHOOL,299,320,0.483037157,0.516962843
22K535,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,113,149,0.43129771,0.56870229
22K555,BROOKLYN COLLEGE ACADEMY,46,104,0.306666667,0.693333333
23K271,JOHN M. COLEMAN SCHOOL,1,1,0.5,0.5
23K493,BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL,55,50,0.523809524,0.476190476
23K514,FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,41,51,0.445652174,0.554347826
23K643,BROOKLYN DEMOCRACY ACADEMY,35,54,0.393258427,0.606741573
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,32,41,0.438356164,0.561643836
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,46,57,0.446601942,0.553398058
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,33,58,0.362637363,0.637362637
23K697,TEACHERS PREPERATORY HIGH SCHOOL,30,61,0.32967033,0.67032967
24Q264,ACADEMY OF FI0NCE AND ENTERPRISE,44,73,0.376068376,0.623931624
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATIONS,33,62,0.347368421,0.652631579
24Q296,PAN AMERICAN INTER0TIO0L HIGH SCHOOL,50,30,0.625,0.375
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,18,37,0.327272727,0.672727273
24Q455,NEWTOWN HIGH SCHOOL,470,335,0.583850932,0.416149068
24Q485,GROVER CLEVELAND HIGH SCHOOL,427,358,0.543949045,0.456050955
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA,50,51,0.495049505,0.504950495
24Q530,INTER0TIO0L HIGH SCHOOL AT LAGUARDIA,57,59,0.49137931,0.50862069
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,69,120,0.365079365,0.634920635
24Q560,ROBERT F WAGNER JR SECONDARY SCHOOL-ARTS AND TECHN,44,71,0.382608696,0.617391304
24Q600,QUEENS VOCATIO0L AND TECHNICAL HIGH SCHOOL,161,109,0.596296296,0.403703704
24Q610,AVIATION CAREER AND TECHNICAL HIGH SCHOOL,349,74,0.825059102,0.174940898
24Q744,VOYAGES PREPARATORY,37,61,0.37755102,0.62244898
25Q263,FLUSHING INTER0TIO0L HIGH SCHOOL,47,46,0.505376344,0.494623656
25Q281,EAST-WEST SCHOOL OF INTER0TIO0L STUDIES,50,33,0.602409639,0.397590361
25Q285,WORLD JOUR0LISM PREPARATORY,21,51,0.291666667,0.708333333
25Q425,JOHN BOWNE HIGH SCHOOL,365,349,0.511204482,0.488795518
25Q460,FLUSHING HIGH SCHOOL,415,298,0.582047686,0.417952314
25Q525,TOWNSEND HARRIS HIGH SCHOOL,92,181,0.336996337,0.663003663
25Q540,QUEENS ACADEMY HIGH SCHOOL,111,76,0.593582888,0.406417112
25Q670,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,103,87,0.542105263,0.457894737
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,33,33,0.5,0.5
26Q415,BENJAMIN N CARDOZO HIGH SCHOOL,427,515,0.45329087,0.54670913
26Q430,FRANCIS LEWIS HIGH SCHOOL,574,593,0.491859469,0.508140531
26Q435,MARTIN VAN BUREN HIGH SCHOOL,405,364,0.526657997,0.473342003
26Q495,BAYSIDE HIGH SCHOOL,440,532,0.452674897,0.547325103
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND S",127,160,0.442508711,0.557491289
27Q260,FREDERICK DOUGLAS ACADEMY VI HIGH SCHOOL,43,62,0.40952381,0.59047619
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,48,53,0.475247525,0.524752475
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH AND T",7,5,0.583333333,0.416666667
27Q323,SCHOLARS' ACADEMY,39,61,0.39,0.61
27Q400,AUGUST MARTIN HIGH SCHOOL,156,124,0.557142857,0.442857143
27Q410,BEACH CHANNEL HIGH SCHOOL,212,162,0.56684492,0.43315508
27Q465,FAR ROCKAWAY HIGH SCHOOL,35,56,0.384615385,0.615384615
27Q475,RICHMOND HILL HIGH SCHOOL,428,413,0.508917955,0.491082045
27Q480,JOHN ADAMS HIGH SCHOOL,517,467,0.525406504,0.474593496
27Q650,"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHI",116,79,0.594871795,0.405128205
28Q310,QUEENS COLLEGIATE - A COLLEGE BOARD SCHOOL,1,0,1,0
28Q338,QUEENS SATELLITE HIGH SCHOOL,41,63,0.394230769,0.605769231
28Q440,FOREST HILLS HIGH SCHOOL,524,503,0.510223953,0.489776047
28Q470,JAMAICA HIGH SCHOOL,201,173,0.537433155,0.462566845
28Q505,HILLCREST HIGH SCHOOL,403,505,0.443832599,0.556167401
28Q620,THOMAS A EDISON CAREER AND TECHNICAL HIGH SCHOOL,434,188,0.697749196,0.302250804
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,39,59,0.397959184,0.602040816
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,39,48,0.448275862,0.551724138
28Q690,HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY,57,72,0.441860465,0.558139535
29Q248,QUEENS PREPARATORY ACADEMY,51,43,0.542553191,0.457446809
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL,28,32,0.466666667,0.533333333
29Q265,EXCELSIOR PREPARATORTY HIGH SCHOOL,65,49,0.570175439,0.429824561
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,47,64,0.423423423,0.576576577
29Q283,PREPARATORY ACADEMY FOR WRITERS,15,40,0.272727273,0.727272727
29Q492,MATH/SCIENCE RESEARCH AND TECHNOLOGY MAGNET HS,69,56,0.552,0.448
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",50,70,0.416666667,0.583333333
29Q496,BUSINESS/COMPUTER APPLICATIONS & ENTREPRENEURSHIP,74,45,0.621848739,0.378151261
29Q498,HUMANITIES AND ARTS MAGNET HIGH SCHOOL,47,60,0.439252336,0.560747664
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,409,339,0.546791444,0.453208556
30Q450,LONG ISLAND CITY HIGH SCHOOL,414,417,0.498194946,0.501805054
30Q501,FRANK SI0TRA SCHOOL OF THE ARTS HIGH SCHOOL,38,100,0.275362319,0.724637681
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,168,80,0.677419355,0.322580645
30Q555,NEWCOMERS HIGH SCHOOL,134,113,0.542510121,0.457489879
30Q575,ACADEMY OF AMERICAN STUDIES,70,85,0.451612903,0.548387097
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,22,42,0.34375,0.65625
31R047,CSI HIGH SCHOOL FOR INTER0TIO0L STUDIES,41,61,0.401960784,0.598039216
31R064,GAYNOR MCCOWN EXPEDITIO0RY LEARNING SCHOOL,1,0,1,0
31R080,THE MICHAEL J PETRIDES SCHOOL,66,61,0.519685039,0.480314961
31R440,NEW DORP HIGH SCHOOL,317,261,0.548442907,0.451557093
31R445,PORT RICHMOND HIGH SCHOOL,289,309,0.483277592,0.516722408
31R450,CURTIS HIGH SCHOOL,312,379,0.451519537,0.548480463
31R455,TOTTENVILLE HIGH SCHOOL,520,484,0.517928287,0.482071713
31R460,SUSAN E WAGNER HIGH SCHOOL,369,392,0.484888305,0.515111695
31R470,CONCORD HIGH SCHOOL,35,48,0.421686747,0.578313253
31R600,RALPH R MCKEE CAREER AND TECHNICAL HIGH SCHOOL,129,39,0.767857143,0.232142857
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,129,81,0.614285714,0.385714286
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,49,54,0.475728155,0.524271845
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE,90,79,0.532544379,0.467455621
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,49,54,0.475728155,0.524271845
32K552,ACADEMY OF URBAN PLANNING,61,62,0.495934959,0.504065041
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,16,19,0.457142857,0.542857143
32K556,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,72,66,0.52173913,0.47826087
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,66,83,0.44295302,0.55704698
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,0,61,0,1
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,0,64,0,1
06M293,CITY COLLEGE ACADEMY OF THE ARTS,0,1,0,1
08X282,WOMEN'S ACADEMY OF EXCELLENCE,0,65,0,1
12X158,THEODORE ROOSEVELT GATHINGS MIDDLE SCHOOL,0,1,0,1
28Q896,YOUNG WOMEN'S LEADERSHIP SCHOOL OF QUEENS,0,57,0,1
