DBN,school_0me,male,female,male_ratio,female_ratio
03M479,BEACON HIGH SCHOOL,118,166,0.415492958,0.584507042
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,155,446,0.257903494,0.742096506
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",39,63,0.382352941,0.617647059
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,97,45,0.683098592,0.316901408
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,92,146,0.386554622,0.613445378
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,62,50,0.553571429,0.446428571
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,37,27,0.578125,0.421875
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,46,60,0.433962264,0.566037736
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,185,203,0.476804124,0.523195876
04M495,PARK EAST HIGH SCHOOL,39,45,0.464285714,0.535714286
04M555,CENTRAL PARK EAST HIGH SCHOOL,30,32,0.483870968,0.516129032
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,45,53,0.459183673,0.540816327
04M680,HERITAGE SCHOOL (THE),42,35,0.545454545,0.454545455
05M172,POWELL MIDDLE SCHOOL FOR LAW AND SOCIAL JUST,1,0,1,0
05M285,HARLEM RE0ISSENCE HIGH SCHOOL,31,58,0.348314607,0.651685393
05M304,MOTT HALL HIGH SCHOOL,47,46,0.505376344,0.494623656
05M367,ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,20,33,0.377358491,0.622641509
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,14,56,0.2,0.8
05M469,CHOIR ACADEMY OF HARLEM,14,31,0.311111111,0.688888889
05M499,FREDERICK DOUGLASS ACADEMY,107,97,0.524509804,0.475490196
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,41,54,0.431578947,0.568421053
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,65,64,0.503875969,0.496124031
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,73,38,0.657657658,0.342342342
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,1,1,0.5,0.5
06M462,HIGH SCHOOL FOR INTER0TIO0L-BUSINESS & FI0NCE,98,71,0.579881657,0.420118343
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,91,58,0.610738255,0.389261745
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,81,93,0.465517241,0.534482759
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,81,94,0.462857143,0.537142857
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,143,184,0.437308869,0.562691131
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,38,51,0.426966292,0.573033708
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,30,36,0.454545455,0.545454545
07X321,CROTO0 ACADEMY HIGH SCHOOL,21,28,0.428571429,0.571428571
07X334,INTER0TIO0L COMMUNITY HIGH SCHOOL,1,4,0.2,0.8
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,42,50,0.456521739,0.543478261
07X381,BRONX HAVEN HIGH SCHOOL,25,46,0.352112676,0.647887324
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,25,51,0.328947368,0.671052632
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,46,39,0.541176471,0.458823529
07X495,UNIVERSITY HEIGHTS,41,69,0.372727273,0.627272727
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,36,51,0.413793103,0.586206897
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,51,58,0.467889908,0.532110092
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,60,49,0.550458716,0.449541284
07X547,NEW EXPLORERS HIGH SCHOOL,51,31,0.62195122,0.37804878
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,67,15,0.817073171,0.182926829
07X551,BRONX ACADEMY OF LETTERS,27,62,0.303370787,0.696629213
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,233,31,0.882575758,0.117424242
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,225,69,0.765306122,0.234693878
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,48,106,0.311688312,0.688311688
08X192,PIAGENTINI-JONES SCHOOL,1,0,1,0
08X293,RE0ISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,51,75,0.404761905,0.595238095
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,76,47,0.617886179,0.382113821
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,64,44,0.592592593,0.407407407
08X312,MILLENIUM ART ACADEMY,66,49,0.573913043,0.426086957
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,48,56,0.461538462,0.538461538
08X377,BRONX COMMUNITY HIGH SCHOOL,52,55,0.485981308,0.514018692
08X405,HERBERT H LEHMAN HIGH SCHOOL,596,386,0.606924644,0.393075356
08X452,BRONX GUILD HIGH SCHOOL,41,44,0.482352941,0.517647059
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,30,51,0.37037037,0.62962963
08X530,BA00 KELLY HIGH SCHOOL,41,58,0.414141414,0.585858586
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,59,67,0.468253968,0.531746032
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,79,97,0.448863636,0.551136364
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,107,255,0.29558011,0.70441989
09X227,BRONX EXPEDITIO0RY LEARNING HIGH SCHOOL,46,45,0.505494505,0.494505495
09X231,EAGLE ACADEMY FOR YOUNG MEN,117,0,1,0
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,83,0,1,0
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,40,31,0.563380282,0.436619718
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,28,29,0.49122807,0.50877193
09X252,MOTT HALL BRONX HIGH SCHOOL,48,53,0.475247525,0.524752475
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,47,52,0.474747475,0.525252525
09X263,VALIDUS PREPARATORY ACADEMY,35,67,0.343137255,0.656862745
09X276,LEADERSHIP INSTITUTE,49,37,0.569767442,0.430232558
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,52,54,0.490566038,0.509433962
09X329,DREAMYARD PREPARATORY SCHOOL,32,58,0.355555556,0.644444444
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,45,45,0.5,0.5
09X403,BRONX INTER0TIO0L HIGH SCHOOL,50,54,0.480769231,0.519230769
09X404,SCHOOL FOR EXCELLENCE,63,62,0.504,0.496
09X412,BRONX HIGH SCHOOL OF BUSINESS,65,57,0.532786885,0.467213115
